Name,Birth Date,Ordained Apostle
Dallin H Oaks,1932-08-12,1984-04-07
Henry B Eyring,1933-05-31,1995-04-01
Dieter F Uchtdorf,1940-11-06,2004-10-02
David A Bednar,1952-06-15,2004-10-02
Quentin L Cook,1940-09-08,2007-10-06
D Todd Christofferson,1945-01-24,2008-04-10
Neil L Andersen,1951-08-09,2009-04-04
Ronald A Rasband,1951-02-06,2015-10-03
Gary E Stevenson,1955-08-06,2015-10-03
Dale G Renlund,1952-11-13,2015-10-03
Gerrit W Gong,1953-12-23,2018-03-31
Ulisses X Soares,1958-10-02,2018-03-31
Patrick X Kearon,1961-07-18,2023-12-08
Gerald J Causse,1963-05-20,2024-11-06
